,,,,,,
,テストケース一覧,,,,,
,,"これは開発プロセスシートのテスト項目を詳細に記述した資料。
受講生は下記の要件にしたがってテストコードが書けているか必ず確認すること。
テストケースについては、余裕のある場合に実装してみましょう。
テストでは各機能（D列：項目）ごとに採点されます。
なので，一つ一つの機能テストを完全にすることを意識しましょう。",,,,
,,ID,項目,テスト内容,テスト手順,期待挙動
,,1,会員登録機能,名前が入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 名前を入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「お名前を入力してください」というバリデーションメッセージが表示される
,,,,メールアドレスが入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. メールアドレスを入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「メールアドレスを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. パスワードを入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「パスワードを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが7文字以下の場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 7文字以下のパスワードと他の必要項目を入力する 
3. 登録ボタンを押す",「パスワードは8文字以上で入力してください」というバリデーションメッセージが表示される
,,,,パスワードが確認用パスワードと一致しない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 確認用パスワードと異なるパスワードを入力し、他の必要項目も入力する 
3. 登録ボタンを押す",「パスワードと一致しません」というバリデーションメッセージが表示される
,,,,全ての項目が入力されている場合、会員情報が登録され、プロフィール設定画面に遷移される,"1. 会員登録ページを開く 
2. 全ての必要項目を正しく入力する 
3. 登録ボタンを押す",会員情報が登録され、プロフィール設定画面に遷移する
,,2,ログイン機能,メールアドレスが入力されていない場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. メールアドレスを入力せずに他の必要項目を入力する 
3. ログインボタンを押す",「メールアドレスを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが入力されていない場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. パスワードを入力せずに他の必要項目を入力する 
3. ログインボタンを押す",「パスワードを入力してください」というバリデーションメッセージが表示される
,,,,入力情報が間違っている場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. 必要項目を登録されていない情報を入力する 
3. ログインボタンを押す",「ログイン情報が登録されていません」というバリデーションメッセージが表示される
,,,,正しい情報が入力された場合、ログイン処理が実行される,"1. ログインページを開く 
2. 全ての必要項目を入力する 
3. ログインボタンを押す",ログイン処理が実行される
,,3,ログアウト機能,ログアウトができる,"1. ユーザーにログインをする
2. ログアウトボタンを押す",ログアウト処理が実行される
,,4,商品一覧取得,全商品を取得できる,1. 商品ページを開く,すべての商品が表示される
,,,,購入済み商品は「Sold」と表示される,"1. 商品ページを開く
2. 購入済み商品を表示する",購入済み商品に「Sold」のラベルが表示される
